"","Amid12","Amid39","Amid40","Amid41","Amid46","Amid49","Amid7","Ileum12","Ileum17","Ileum18","Ileum19","Ileum20","Ileum21","Ileum2","Ileum3","Ileum5","Ileum7","Ileum9","Lmid2","Lmid3","Lmid5","Lmid9","Paunch12","Paunch17","Paunch18","Paunch19","Paunch20","Paunch21","Paunch2","Paunch3","Paunch5","Paunch9","hind12","hind39","hind40","hind41","hind46","hind48","hind49","hind4","hind7"
"Amid12",0,0.773,0.709,0.925,0.705,0.752,0.864,0.963,0.973,0.974,0.973,0.973,0.963,1,0.974,1,0.999,0.999,1,1,1,1,0.959,0.966,0.959,0.949,0.961,0.965,0.945,0.961,0.96,0.953,0.504,0.752,0.804,0.814,0.845,0.706,0.884,0.943,0.782
"Amid39",0.773,0,0.97,0.984,0.795,0.947,0.971,1,1,1,1,1,0.993,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999,1,0.993,1,1,0.916,0.891,0.963,0.961,0.965,0.931,0.975,0.987,0.964
"Amid40",0.709,0.97,0,0.9,0.746,0.645,0.896,0.935,0.753,0.739,0.802,0.802,0.97,1,0.948,1,0.995,1,1,1,1,1,0.998,1,0.998,0.993,0.998,0.999,0.994,0.992,0.999,1,0.596,0.876,0.777,0.832,0.839,0.828,0.899,0.985,0.739
"Amid41",0.925,0.984,0.9,0,0.844,0.903,0.902,0.999,0.998,0.998,1,0.998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999,0.992,1,1,0.931,0.959,0.95,0.883,0.946,0.901,0.97,0.974,0.793
"Amid46",0.705,0.795,0.746,0.844,0,0.813,0.931,0.965,0.965,0.961,0.977,0.963,0.967,1,0.979,1,0.994,1,1,1,1,1,0.997,0.999,0.997,0.992,0.997,0.998,0.993,0.991,0.998,0.999,0.841,0.938,0.919,0.872,0.922,0.818,0.946,0.987,0.879
"Amid49",0.752,0.947,0.645,0.903,0.813,0,0.674,0.968,0.967,0.958,0.975,0.958,0.975,1,0.977,1,0.995,1,1,1,1,1,0.998,1,0.998,0.993,0.998,0.999,0.994,0.992,0.999,1,0.725,0.88,0.877,0.879,0.897,0.842,0.89,0.992,0.788
"Amid7",0.864,0.971,0.896,0.902,0.931,0.674,0,0.965,0.973,0.974,0.979,0.973,0.978,1,0.981,1,0.994,0.999,1,1,1,1,0.96,0.971,0.933,0.941,0.946,0.968,0.886,0.861,0.89,0.96,0.869,0.931,0.899,0.868,0.918,0.868,0.942,0.89,0.772
"Ileum12",0.963,1,0.935,0.999,0.965,0.968,0.965,0,0.76,0.819,0.764,0.709,0.841,0.894,0.884,0.923,0.912,0.892,0.943,0.947,0.926,0.934,0.941,0.962,0.949,0.954,0.955,0.973,0.937,0.944,0.954,0.957,0.942,0.979,0.961,0.982,0.968,0.966,0.98,0.974,0.945
"Ileum17",0.973,1,0.753,0.998,0.965,0.967,0.973,0.76,0,0.537,0.569,0.641,0.871,0.908,0.878,0.93,0.93,0.908,0.957,0.95,0.934,0.937,0.986,0.983,0.992,0.988,0.991,1,0.97,0.981,0.98,0.993,0.883,0.988,0.958,0.991,0.975,0.931,0.984,0.965,0.955
"Ileum18",0.974,1,0.739,0.998,0.961,0.958,0.974,0.819,0.537,0,0.651,0.679,0.932,0.966,0.916,0.974,0.96,0.948,0.992,0.989,0.968,0.973,0.99,0.991,0.991,0.991,0.993,1,0.977,0.985,0.99,0.999,0.883,0.985,0.956,0.988,0.969,0.973,0.983,0.986,0.955
