"","Amid12","Amid39","Amid40","Amid41","Amid46","Amid49","Amid7","Ileum12","Ileum17","Ileum18","Ileum19","Ileum20","Ileum21","Ileum2","Ileum3","Ileum5","Ileum7","Ileum9","Lmid2","Lmid3","Lmid5","Lmid9","Paunch12","Paunch17","Paunch18","Paunch19","Paunch20","Paunch21","Paunch2","Paunch3","Paunch5","Paunch9","hind12","hind39","hind40","hind41","hind46","hind48","hind49","hind4","hind7"
"Amid12",0,0.833333333333333,0.838709677419355,0.945454545454545,0.844827586206897,0.840579710144927,0.867647058823529,0.98,0.988826815642458,0.991452991452991,0.978723404255319,0.989583333333333,0.957746478873239,1,0.997971602434077,1,0.997701149425287,0.998076923076923,1,1,1,1,0.967647058823529,0.96875,0.971354166666667,0.959183673469388,0.963380281690141,0.968627450980392,0.96816976127321,0.975409836065574,0.973134328358209,0.964088397790055,0.442857142857143,0.671428571428571,0.76271186440678,0.771929824561403,0.842105263157895,0.707070707070707,0.836206896551724,0.826530612244898,0.79746835443038
"Amid39",0.833333333333333,0,0.863636363636364,0.875,0.846153846153846,0.884615384615385,0.877551020408163,1,1,1,1,1,0.983870967741935,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.995833333333333,1,0.997159090909091,1,1,0.89873417721519,0.775862068965517,0.902654867256637,0.927272727272727,0.9,0.895833333333333,0.933962264150943,0.966666666666667,0.926470588235294
"Amid40",0.838709677419355,0.863636363636364,0,0.8125,0.575757575757576,0.604651162790698,0.882352941176471,0.983425414364641,0.981012658227848,0.968421052631579,0.972972972972973,0.982456140350877,0.976,1,0.997885835095137,1,0.997590361445783,1,1,1,1,1,0.996969696969697,1,0.997326203208556,0.992957746478873,0.997118155619596,0.995867768595041,0.994550408719346,0.991477272727273,0.996904024767802,1,0.858974358974359,0.82258064516129,0.8,0.846153846153846,0.833333333333333,0.863157894736842,0.802083333333333,0.978494623655914,0.863636363636364
"Amid41",0.945454545454545,0.875,0.8125,0,0.821428571428571,0.789473684210526,0.951219512195122,0.994082840236686,0.993150684931507,0.987951807228916,1,0.993710691823899,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.997175141242938,0.994100294985251,1,1,0.958333333333333,0.886792452830189,0.912621359223301,0.907216494845361,0.911111111111111,0.906976744186046,0.89010989010989,0.9875,0.948275862068966
"Amid46",0.844827586206897,0.846153846153846,0.575757575757576,0.821428571428571,0,0.69047619047619,0.916666666666667,0.977142857142857,0.980392156862745,0.955056179775281,0.971014492753623,0.975757575757576,0.957627118644068,1,0.997863247863248,1,0.995110024449878,1,1,1,1,1,0.993827160493827,0.996710526315789,0.994565217391304,0.989208633093525,0.994134897360704,0.991525423728814,0.991689750692521,0.988439306358382,0.993690851735016,0.997134670487106,0.864864864864865,0.807017543859649,0.869158878504673,0.883495145631068,0.861702127659574,0.880434782608696,0.842105263157895,0.977272727272727,0.888888888888889
"Amid49",0.840579710144927,0.884615384615385,0.604651162790698,0.789473684210526,0.69047619047619,0,0.916666666666667,0.984126984126984,0.981927710843373,0.970873786407767,0.975609756097561,0.983240223463687,0.985074626865672,1,0.997920997920998,1,0.997635933806147,1,1,1,1,1,0.997041420118343,1,0.99738219895288,0.993150684931507,0.997183098591549,0.996,0.994666666666667,0.991666666666667,0.996978851963746,1,0.897727272727273,0.859154929577465,0.792792792792793,0.803738317757009,0.8,0.884615384615385,0.67741935483871,0.990196078431373,0.878378378378378
"Amid7",0.867647058823529,0.877551020408163,0.882352941176471,0.951219512195122,0.916666666666667,0.916666666666667,0,0.983870967741935,0.98159509202454,0.98019801980198,0.974683544303797,0.982954545454545,0.968992248062015,1,0.997907949790795,1,0.995226730310263,0.998019801980198,1,1,1,1,0.975609756097561,0.983870967741935,0.983957219251337,0.971731448763251,0.985632183908046,0.987755102040816,0.989189189189189,0.977272727272727,0.987692307692308,0.98876404494382,0.880952380952381,0.835820895522388,0.889830508474576,0.91304347826087,0.916666666666667,0.892156862745098,0.878504672897196,0.850574712643678,0.666666666666667
"Ileum12",0.98,1,0.983425414364641,0.994082840236686,0.977142857142857,0.984126984126984,0.983870967741935,0,0.885931558935361,0.92018779342723,0.899470899470899,0.883211678832117,0.938775510204082,0.946322067594433,0.947916666666667,0.932950191570881,0.933852140077821,0.939698492462312,0.939823008849557,0.951013513513513,0.923076923076923,0.945205479452055,0.918224299065421,0.945107398568019,0.932631578947368,0.941772151898734,0.940397350993378,0.961218836565097,0.924892703862661,0.927312775330396,0.927058823529412,0.943600867678959,0.976851851851852,0.980099502487562,0.980237154150198,0.983870967741935,0.987551867219917,0.974358974358974,0.983539094650206,0.977477477477477,0.980295566502463
"Ileum17",0.988826815642458,1,0.981012658227848,0.993150684931507,0.980392156862745,0.981927710843373,0.98159509202454,0.885931558935361,0,0.810344827586207,0.885542168674699,0.753303964757709,0.946666666666667,0.950310559006211,0.94954954954955,0.932,0.941532258064516,0.948275862068966,0.954627949183303,0.943462897526502,0.921195652173913,0.944839857651246,0.986175115207373,0.983009708737864,0.989561586638831,0.987179487179487,0.988938053097345,1,0.969827586206897,0.968888888888889,0.959134615384615,0.989106753812636,0.984615384615385,0.988888888888889,0.987068965517241,0.991189427312775,0.990867579908676,0.976415094339623,0.986425339366516,0.985074626865672,0.983425414364641
"Ileum18",0.991452991452991,1,0.968421052631579,0.987951807228916,0.955056179775281,0.970873786407767,0.98019801980198,0.92018779342723,0.810344827586207,0,0.826923076923077,0.823529411764706,0.945454545454545,0.981651376146789,0.984375,0.980519480519481,0.984615384615385,0.983271375464684,0.986166007905138,0.986742424242424,0.972307692307692,0.978805394990366,0.989276139410188,0.985754985754986,0.985542168674699,0.98780487804878,0.987146529562982,1,0.982843137254902,0.982233502538071,0.972222222222222,0.9975,0.977272727272727,0.982905982905983,0.982248520710059,0.98780487804878,0.987179487179487,0.973333333333333,0.974522292993631,0.985611510791367,0.974576271186441
"Ileum19",0.978723404255319,1,0.972972972972973,1,0.971014492753623,0.975609756097561,0.974683544303797,0.899470899470899,0.885542168674699,0.826923076923077,0,0.88135593220339,0.937062937062937,0.978208232445521,0.983673469387755,0.977220956719818,0.983833718244804,0.980582524271845,0.989711934156379,0.988165680473373,0.973684210526316,0.986027944111776,0.979885057471264,0.981707317073171,0.989873417721519,0.980263157894737,0.983606557377049,0.996240601503759,0.973890339425587,0.97289972899729,0.976470588235294,0.978436657681941,0.963302752293578,0.989583333333333,0.986486486486487,0.993006993006993,0.992592592592593,0.976744186046512,0.985401459854015,0.965217391304348,0.96875
"Ileum20",0.989583333333333,1,0.982456140350877,0.993710691823899,0.975757575757576,0.983240223463687,0.982954545454545,0.883211678832117,0.753303964757709,0.823529411764706,0.88135593220339,0,0.931623931623932,0.932238193018481,0.931899641577061,0.93579766536965,0.930417495029821,0.935042735042735,0.938738738738739,0.935540069686411,0.935064935064935,0.929328621908127,0.988839285714286,0.976303317535545,0.989837398373984,0.987593052109181,0.987068965517241,0.997252747252747,0.961945031712474,0.97198275862069,0.957943925233645,0.989406779661017,0.990430622009569,0.989637305699482,0.987755102040816,0.991666666666667,0.991379310344828,0.977777777777778,0.982832618025751,0.985981308411215,0.98974358974359
"Ileum21",0.957746478873239,0.983870967741935,0.976,1,0.957627118644068,0.985074626865672,0.968992248062015,0.938775510204082,0.946666666666667,0.945454545454545,0.937062937062937,0.931623931623932,0,0.939597315436242,0.956356736242884,0.971252566735113,0.962025316455696,0.937384898710866,0.951737451737452,0.959484346224678,0.971751412429379,0.95910780669145,0.9825,0.976127320954907,0.977324263038549,0.977401129943503,0.983213429256595,0.936666666666667,0.960280373831776,0.963942307692308,0.958333333333333,0.97624703087886,0.962264150943396,0.972413793103448,0.974619289340102,0.994871794871795,0.983783783783784,0.96045197740113,0.973118279569892,0.976047904191617,0.972789115646258
