"Sample.ID","Lifestage","Gut.Region","Stage.Gut","Sex","Domain","Phylum","Family","Abundance","totalAbun","relativeAbun"
"Amid12","adult","midgut","Adult midgut","male","Bacteria","Bacteroidetes","Dysgonomonadaceae",659,2834,23.2533521524347
"Amid12","adult","midgut","Adult midgut","male","Bacteria","Bacteroidetes","Rikenellaceae",2,2834,0.0705716302046577
"Amid12","adult","midgut","Adult midgut","male","Bacteria","Bacteroidetes","Tannerellaceae",11,2834,0.388143966125618
"Amid12","adult","midgut","Adult midgut","male","Bacteria","Deferribacteres","Deferribacteraceae",2,2834,0.0705716302046577
"Amid12","adult","midgut","Adult midgut","male","Bacteria","Elusimicrobia","Endomicrobiaceae",9,2834,0.31757233592096
"Amid12","adult","midgut","Adult midgut","male","Bacteria","Firmicutes","Acidaminococcaceae",107,2834,3.77558221594919
"Amid12","adult","midgut","Adult midgut","male","Bacteria","Firmicutes","Enterococcaceae",194,2834,6.8454481298518
"Amid12","adult","midgut","Adult midgut","male","Bacteria","Firmicutes","Lachnospiraceae",183,2834,6.45730416372618
"Amid12","adult","midgut","Adult midgut","male","Bacteria","Firmicutes","Leuconostocaceae",19,2834,0.670430486944248
"Amid12","adult","midgut","Adult midgut","male","Bacteria","Firmicutes","Ruminococcaceae",53,2834,1.87014820042343
"Amid12","adult","midgut","Adult midgut","male","Bacteria","Firmicutes","Streptococcaceae",264,2834,9.31545518701482
"Amid12","adult","midgut","Adult midgut","male","Bacteria","Proteobacteria","Beijerinckiaceae",29,2834,1.02328863796754
"Amid12","adult","midgut","Adult midgut","male","Bacteria","Proteobacteria","Burkholderiaceae",5,2834,0.176429075511644
"Amid12","adult","midgut","Adult midgut","male","Bacteria","Proteobacteria","Desulfobacteraceae",17,2834,0.599858856739591
"Amid12","adult","midgut","Adult midgut","male","Bacteria","Proteobacteria","Desulfovibrionaceae",84,2834,2.96400846859562
"Amid12","adult","midgut","Adult midgut","male","Bacteria","Proteobacteria","Enterobacteriaceae",897,2834,31.651376146789
"Amid12","adult","midgut","Adult midgut","male","Bacteria","Proteobacteria","Nitrosomonadaceae",2,2834,0.0705716302046577
"Amid12","adult","midgut","Adult midgut","male","Bacteria","Proteobacteria","Orbaceae",258,2834,9.10374029640085
"Amid12","adult","midgut","Adult midgut","male","Bacteria","Proteobacteria","Rhodocyclaceae",4,2834,0.141143260409315
"Amid12","adult","midgut","Adult midgut","male","Bacteria","Tenericutes","Spiroplasmataceae",35,2834,1.23500352858151
"Amid39","adult","midgut","Adult midgut","female","Bacteria","Actinobacteria","Dermabacteraceae",15,2238,0.670241286863271
"Amid39","adult","midgut","Adult midgut","female","Bacteria","Bacteroidetes","Dysgonomonadaceae",35,2238,1.5638963360143
"Amid39","adult","midgut","Adult midgut","female","Bacteria","Bacteroidetes","Sphingobacteriaceae",16,2238,0.714924039320822
"Amid39","adult","midgut","Adult midgut","female","Bacteria","Firmicutes","Enterococcaceae",41,2238,1.83199285075961
"Amid39","adult","midgut","Adult midgut","female","Bacteria","Firmicutes","Leuconostocaceae",1005,2238,44.9061662198391
"Amid39","adult","midgut","Adult midgut","female","Bacteria","Firmicutes","Streptococcaceae",440,2238,19.6604110813226
"Amid39","adult","midgut","Adult midgut","female","Bacteria","Proteobacteria","Acetobacteraceae",132,2238,5.89812332439678
"Amid39","adult","midgut","Adult midgut","female","Bacteria","Proteobacteria","Burkholderiaceae",3,2238,0.134048257372654
