"Sample.ID","Lifestage","Gut.Region","Stage.Gut","Sex","Genus","Abundance"
"Amid12","adult","midgut","Adult midgut","male","[Eubacterium] coprostanoligenes group",0
"Amid12","adult","midgut","Adult midgut","male","[Eubacterium] nodatum group",0
"Amid12","adult","midgut","Adult midgut","male","1959-1",0
"Amid12","adult","midgut","Adult midgut","male","Acetobacter",0
"Amid12","adult","midgut","Adult midgut","male","Acholeplasma",0
"Amid12","adult","midgut","Adult midgut","male","Acidibacter",0
"Amid12","adult","midgut","Adult midgut","male","Acidothermus",0
"Amid12","adult","midgut","Adult midgut","male","Acinetobacter",0
"Amid12","adult","midgut","Adult midgut","male","Actinoallomurus",0
"Amid12","adult","midgut","Adult midgut","male","Actinomadura",0
"Amid12","adult","midgut","Adult midgut","male","Actinomyces",0
"Amid12","adult","midgut","Adult midgut","male","Actinomycetospora",0
"Amid12","adult","midgut","Adult midgut","male","Actinophytocola",0
"Amid12","adult","midgut","Adult midgut","male","Actinoplanes",0
"Amid12","adult","midgut","Adult midgut","male","ADurb.Bin063-1",0
"Amid12","adult","midgut","Adult midgut","male","Aeromicrobium",0
"Amid12","adult","midgut","Adult midgut","male","Agromyces",0
"Amid12","adult","midgut","Adult midgut","male","AKYG587",0
"Amid12","adult","midgut","Adult midgut","male","Alistipes",2
"Amid12","adult","midgut","Adult midgut","male","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",0
"Amid12","adult","midgut","Adult midgut","male","Altererythrobacter",0
"Amid12","adult","midgut","Adult midgut","male","Amaricoccus",0
"Amid12","adult","midgut","Adult midgut","male","Aminobacterium",0
"Amid12","adult","midgut","Adult midgut","male","Amnibacterium",0
"Amid12","adult","midgut","Adult midgut","male","Amycolatopsis",0
"Amid12","adult","midgut","Adult midgut","male","Anaerocolumna",0
"Amid12","adult","midgut","Adult midgut","male","Anaerofustis",0
"Amid12","adult","midgut","Adult midgut","male","Anaeromyxobacter",0
"Amid12","adult","midgut","Adult midgut","male","Anaeroplasma",0
"Amid12","adult","midgut","Adult midgut","male","Anaerospora",0
"Amid12","adult","midgut","Adult midgut","male","Anaerosporobacter",0
"Amid12","adult","midgut","Adult midgut","male","Anaerotruncus",0
"Amid12","adult","midgut","Adult midgut","male","Anaerovorax",0
"Amid12","adult","midgut","Adult midgut","male","Angustibacter",0
"Amid12","adult","midgut","Adult midgut","male","Aquicella",0
"Amid12","adult","midgut","Adult midgut","male","Aquisphaera",0
"Amid12","adult","midgut","Adult midgut","male","Bacillus",0
"Amid12","adult","midgut","Adult midgut","male","Bacteroides",0
"Amid12","adult","midgut","Adult midgut","male","Bauldia",0
"Amid12","adult","midgut","Adult midgut","male","Blastococcus",0
"Amid12","adult","midgut","Adult midgut","male","Blastopirellula",0
"Amid12","adult","midgut","Adult midgut","male","Bordetella",0
"Amid12","adult","midgut","Adult midgut","male","Bosea",0
"Amid12","adult","midgut","Adult midgut","male","Brachybacterium",0
"Amid12","adult","midgut","Adult midgut","male","Bradyrhizobium",0
"Amid12","adult","midgut","Adult midgut","male","Burkholderia-Caballeronia-Paraburkholderia",0
"Amid12","adult","midgut","Adult midgut","male","Butyricicoccus",9
"Amid12","adult","midgut","Adult midgut","male","Caenimonas",0
"Amid12","adult","midgut","Adult midgut","male","Candidatus Caldatribacterium",0
"Amid12","adult","midgut","Adult midgut","male","Candidatus Endomicrobium",9
"Amid12","adult","midgut","Adult midgut","male","Candidatus Koribacter",0
"Amid12","adult","midgut","Adult midgut","male","Candidatus Methanofastidiosum",0
"Amid12","adult","midgut","Adult midgut","male","Candidatus Nitrocosmicus",0
"Amid12","adult","midgut","Adult midgut","male","Candidatus Soleaferrea",3
"Amid12","adult","midgut","Adult midgut","male","Candidatus Solibacter",0
"Amid12","adult","midgut","Adult midgut","male","Candidatus Udaeobacter",0
"Amid12","adult","midgut","Adult midgut","male","Candidatus Xiphinematobacter",0
"Amid12","adult","midgut","Adult midgut","male","Carnimonas",0
"Amid12","adult","midgut","Adult midgut","male","Carnobacterium",0
"Amid12","adult","midgut","Adult midgut","male","Cellulomonas",0
"Amid12","adult","midgut","Adult midgut","male","Cellulosimicrobium",0
"Amid12","adult","midgut","Adult midgut","male","Christensenellaceae R-7 group",0
"Amid12","adult","midgut","Adult midgut","male","Chryseobacterium",0
"Amid12","adult","midgut","Adult midgut","male","Chryseolinea",0
"Amid12","adult","midgut","Adult midgut","male","Chthoniobacter",0
"Amid12","adult","midgut","Adult midgut","male","Chthonomonas",0
"Amid12","adult","midgut","Adult midgut","male","CL500-29 marine group",0
"Amid12","adult","midgut","Adult midgut","male","Clade Ia",0
"Amid12","adult","midgut","Adult midgut","male","Cohnella",0
"Amid12","adult","midgut","Adult midgut","male","Conexibacter",0
"Amid12","adult","midgut","Adult midgut","male","Coprothermobacter",0
"Amid12","adult","midgut","Adult midgut","male","Coxiella",0
"Amid12","adult","midgut","Adult midgut","male","Curtobacterium",0
"Amid12","adult","midgut","Adult midgut","male","Dactylosporangium",0
"Amid12","adult","midgut","Adult midgut","male","Defluviicoccus",0
"Amid12","adult","midgut","Adult midgut","male","Delftia",0
"Amid12","adult","midgut","Adult midgut","male","Demequina",0
"Amid12","adult","midgut","Adult midgut","male","Dendrosporobacter",0
"Amid12","adult","midgut","Adult midgut","male","Desulfatiferula",17
"Amid12","adult","midgut","Adult midgut","male","Desulfosporosinus",0
"Amid12","adult","midgut","Adult midgut","male","Desulfovibrio",84
"Amid12","adult","midgut","Adult midgut","male","Devosia",0
"Amid12","adult","midgut","Adult midgut","male","Dinghuibacter",0
"Amid12","adult","midgut","Adult midgut","male","Diplosphaera",0
"Amid12","adult","midgut","Adult midgut","male","Dongia",0
"Amid12","adult","midgut","Adult midgut","male","Dysgonomonas",659
"Amid12","adult","midgut","Adult midgut","male","Ellin6055",0
"Amid12","adult","midgut","Adult midgut","male","Ensifer",0
"Amid12","adult","midgut","Adult midgut","male","Enterococcus",194
"Amid12","adult","midgut","Adult midgut","male","Erysipelatoclostridium",0
"Amid12","adult","midgut","Adult midgut","male","Erysipelothrix",0
"Amid12","adult","midgut","Adult midgut","male","Erysipelotrichaceae UCG-004",0
"Amid12","adult","midgut","Adult midgut","male","Escherichia-Shigella",0
"Amid12","adult","midgut","Adult midgut","male","Exilispira",0
"Amid12","adult","midgut","Adult midgut","male","FCPS473",0
"Amid12","adult","midgut","Adult midgut","male","FFCH7168",0
"Amid12","adult","midgut","Adult midgut","male","Fimbriiglobus",0
"Amid12","adult","midgut","Adult midgut","male","Flavisolibacter",0
"Amid12","adult","midgut","Adult midgut","male","Flavobacterium",0
"Amid12","adult","midgut","Adult midgut","male","Flexilinea",0
"Amid12","adult","midgut","Adult midgut","male","Fodinicola",0
"Amid12","adult","midgut","Adult midgut","male","Frankia",0
"Amid12","adult","midgut","Adult midgut","male","Gaiella",0
"Amid12","adult","midgut","Adult midgut","male","GCA-900066225",0
"Amid12","adult","midgut","Adult midgut","male","Gemmata",0
"Amid12","adult","midgut","Adult midgut","male","Gemmatimonas",0
"Amid12","adult","midgut","Adult midgut","male","Geobacillus",0
"Amid12","adult","midgut","Adult midgut","male","Geobacter",0
"Amid12","adult","midgut","Adult midgut","male","Geodermatophilus",0
"Amid12","adult","midgut","Adult midgut","male","Gilliamella",258
"Amid12","adult","midgut","Adult midgut","male","Gluconobacter",0
"Amid12","adult","midgut","Adult midgut","male","Glutamicibacter",0
"Amid12","adult","midgut","Adult midgut","male","Gordonia",0
"Amid12","adult","midgut","Adult midgut","male","Haliangium",0
"Amid12","adult","midgut","Adult midgut","male","Herminiimonas",0
"Amid12","adult","midgut","Adult midgut","male","Hirschia",0
"Amid12","adult","midgut","Adult midgut","male","Hydrogenispora",0
"Amid12","adult","midgut","Adult midgut","male","Hydrogenoanaerobacterium",0
"Amid12","adult","midgut","Adult midgut","male","Hyphomicrobium",0
"Amid12","adult","midgut","Adult midgut","male","Iamia",0
"Amid12","adult","midgut","Adult midgut","male","Ilumatobacter",0
"Amid12","adult","midgut","Adult midgut","male","IMCC26207",0
"Amid12","adult","midgut","Adult midgut","male","Intestinimonas",0
"Amid12","adult","midgut","Adult midgut","male","Jatrophihabitans",0
"Amid12","adult","midgut","Adult midgut","male","JGI 0001001-H03",0
"Amid12","adult","midgut","Adult midgut","male","JGI-0000079-D21",0
"Amid12","adult","midgut","Adult midgut","male","Kaistia",0
"Amid12","adult","midgut","Adult midgut","male","Kineosporia",0
"Amid12","adult","midgut","Adult midgut","male","Kribbella",0
"Amid12","adult","midgut","Adult midgut","male","Ktedonobacter",0
"Amid12","adult","midgut","Adult midgut","male","Labrys",0
"Amid12","adult","midgut","Adult midgut","male","Laceyella",0
"Amid12","adult","midgut","Adult midgut","male","Lachnoclostridium",11
"Amid12","adult","midgut","Adult midgut","male","Lachnoclostridium 10",0
"Amid12","adult","midgut","Adult midgut","male","Lachnoclostridium 5",90
"Amid12","adult","midgut","Adult midgut","male","Lachnospiraceae UCG-010",0
"Amid12","adult","midgut","Adult midgut","male","Lactobacillus",0
"Amid12","adult","midgut","Adult midgut","male","Lactococcus",264
"Amid12","adult","midgut","Adult midgut","male","LD29",0
"Amid12","adult","midgut","Adult midgut","male","Lechevalieria",0
"Amid12","adult","midgut","Adult midgut","male","Leucobacter",0
"Amid12","adult","midgut","Adult midgut","male","Leuconostoc",19
"Amid12","adult","midgut","Adult midgut","male","Longilinea",0
"Amid12","adult","midgut","Adult midgut","male","Luedemannella",0
"Amid12","adult","midgut","Adult midgut","male","Luteitalea",0
"Amid12","adult","midgut","Adult midgut","male","Luteolibacter",0
"Amid12","adult","midgut","Adult midgut","male","Lysinibacillus",0
"Amid12","adult","midgut","Adult midgut","male","Lysobacter",0
"Amid12","adult","midgut","Adult midgut","male","Marmoricola",0
"Amid12","adult","midgut","Adult midgut","male","Massilia",0
"Amid12","adult","midgut","Adult midgut","male","Mesorhizobium",0
"Amid12","adult","midgut","Adult midgut","male","metagenome",0
"Amid12","adult","midgut","Adult midgut","male","Methanobacterium",0
"Amid12","adult","midgut","Adult midgut","male","Methanobrevibacter",0
"Amid12","adult","midgut","Adult midgut","male","Methanolinea",0
"Amid12","adult","midgut","Adult midgut","male","Methanosaeta",0
"Amid12","adult","midgut","Adult midgut","male","Methylobacterium",0
"Amid12","adult","midgut","Adult midgut","male","Microbacterium",0
"Amid12","adult","midgut","Adult midgut","male","Microbispora",0
"Amid12","adult","midgut","Adult midgut","male","Microvirga",29
"Amid12","adult","midgut","Adult midgut","male","mle1-7",0
"Amid12","adult","midgut","Adult midgut","male","MND1",0
"Amid12","adult","midgut","Adult midgut","male","Morganella",0
"Amid12","adult","midgut","Adult midgut","male","Mucispirillum",2
"Amid12","adult","midgut","Adult midgut","male","Mycobacterium",0
"Amid12","adult","midgut","Adult midgut","male","Nakamurella",0
"Amid12","adult","midgut","Adult midgut","male","Niastella",0
"Amid12","adult","midgut","Adult midgut","male","Nitrolancea",0
"Amid12","adult","midgut","Adult midgut","male","Nitrosomonas",2
"Amid12","adult","midgut","Adult midgut","male","Nocardioides",0
"Amid12","adult","midgut","Adult midgut","male","Nonomuraea",0
"Amid12","adult","midgut","Adult midgut","male","Nordella",0
"Amid12","adult","midgut","Adult midgut","male","Novibacillus",0
"Amid12","adult","midgut","Adult midgut","male","Noviherbaspirillum",0
"Amid12","adult","midgut","Adult midgut","male","Novosphingobium",0
"Amid12","adult","midgut","Adult midgut","male","Ochrobactrum",0
"Amid12","adult","midgut","Adult midgut","male","Oligoflexus",0
"Amid12","adult","midgut","Adult midgut","male","Oxalobacter",0
"Amid12","adult","midgut","Adult midgut","male","Paenarthrobacter",0
"Amid12","adult","midgut","Adult midgut","male","Paenibacillus",0
"Amid12","adult","midgut","Adult midgut","male","Pajaroellobacter",0
"Amid12","adult","midgut","Adult midgut","male","Paludisphaera",0
"Amid12","adult","midgut","Adult midgut","male","Pantoea",0
"Amid12","adult","midgut","Adult midgut","male","Papillibacter",0
"Amid12","adult","midgut","Adult midgut","male","Paraclostridium",0
"Amid12","adult","midgut","Adult midgut","male","Paracoccus",0
"Amid12","adult","midgut","Adult midgut","male","Pedomicrobium",0
"Amid12","adult","midgut","Adult midgut","male","Pelolinea",0
"Amid12","adult","midgut","Adult midgut","male","Pelospora",0
"Amid12","adult","midgut","Adult midgut","male","Pelotomaculum",0
"Amid12","adult","midgut","Adult midgut","male","Phaselicystis",0
"Amid12","adult","midgut","Adult midgut","male","Phenylobacterium",0
"Amid12","adult","midgut","Adult midgut","male","Phyllobacterium",0
"Amid12","adult","midgut","Adult midgut","male","Pir4 lineage",0
"Amid12","adult","midgut","Adult midgut","male","Pirellula",0
"Amid12","adult","midgut","Adult midgut","male","Planctomicrobium",0
"Amid12","adult","midgut","Adult midgut","male","Planifilum",0
"Amid12","adult","midgut","Adult midgut","male","Promicromonospora",0
"Amid12","adult","midgut","Adult midgut","male","Propionivibrio",0
"Amid12","adult","midgut","Adult midgut","male","Proteiniphilum",0
"Amid12","adult","midgut","Adult midgut","male","Providencia",0
"Amid12","adult","midgut","Adult midgut","male","Pseudarthrobacter",0
"Amid12","adult","midgut","Adult midgut","male","Pseudoclavibacter",0
"Amid12","adult","midgut","Adult midgut","male","Pseudolabrys",0
"Amid12","adult","midgut","Adult midgut","male","Pseudomonas",0
"Amid12","adult","midgut","Adult midgut","male","Pseudonocardia",0
"Amid12","adult","midgut","Adult midgut","male","Pseudoxanthomonas",0
"Amid12","adult","midgut","Adult midgut","male","Pythium insidiosum",0
"Amid12","adult","midgut","Adult midgut","male","Quadrisphaera",0
"Amid12","adult","midgut","Adult midgut","male","Ramlibacter",0
"Amid12","adult","midgut","Adult midgut","male","Raoultibacter",0
"Amid12","adult","midgut","Adult midgut","male","RB41",0
"Amid12","adult","midgut","Adult midgut","male","Reyranella",0
"Amid12","adult","midgut","Adult midgut","male","Rhizobacter",0
"Amid12","adult","midgut","Adult midgut","male","Rhodococcus",0
"Amid12","adult","midgut","Adult midgut","male","Rhodomicrobium",0
"Amid12","adult","midgut","Adult midgut","male","Rhodopirellula",0
"Amid12","adult","midgut","Adult midgut","male","Rhodoplanes",0
"Amid12","adult","midgut","Adult midgut","male","Rhodopseudomonas",0
"Amid12","adult","midgut","Adult midgut","male","Rikenella",0
"Amid12","adult","midgut","Adult midgut","male","Robinsoniella",0
"Amid12","adult","midgut","Adult midgut","male","Romboutsia",0
"Amid12","adult","midgut","Adult midgut","male","Roseiarcus",0
"Amid12","adult","midgut","Adult midgut","male","Roseiflexus",0
"Amid12","adult","midgut","Adult midgut","male","Roseimicrobium",0
"Amid12","adult","midgut","Adult midgut","male","Rubrobacter",0
"Amid12","adult","midgut","Adult midgut","male","Ruminiclostridium 1",0
"Amid12","adult","midgut","Adult midgut","male","Ruminiclostridium 5",0
"Amid12","adult","midgut","Adult midgut","male","Ruminiclostridium 6",0
"Amid12","adult","midgut","Adult midgut","male","Ruminiclostridium 9",0
"Amid12","adult","midgut","Adult midgut","male","Ruminococcaceae NK4A214 group",16
"Amid12","adult","midgut","Adult midgut","male","Ruminococcaceae UCG-004",0
"Amid12","adult","midgut","Adult midgut","male","Ruminococcaceae UCG-009",0
"Amid12","adult","midgut","Adult midgut","male","Ruminococcaceae UCG-010",0
"Amid12","adult","midgut","Adult midgut","male","Ruminococcaceae UCG-013",0
"Amid12","adult","midgut","Adult midgut","male","Ruminococcaceae UCG-014",0
"Amid12","adult","midgut","Adult midgut","male","Ruminococcus 1",0
"Amid12","adult","midgut","Adult midgut","male","Ruminococcus 2",0
"Amid12","adult","midgut","Adult midgut","male","Saccharopolyspora",0
"Amid12","adult","midgut","Adult midgut","male","Sanguibacter",0
"Amid12","adult","midgut","Adult midgut","male","Serratia",0
"Amid12","adult","midgut","Adult midgut","male","SH-PL14",0
"Amid12","adult","midgut","Adult midgut","male","Shimazuella",0
"Amid12","adult","midgut","Adult midgut","male","Singulisphaera",0
"Amid12","adult","midgut","Adult midgut","male","Skermanella",0
"Amid12","adult","midgut","Adult midgut","male","Solirubrobacter",0
"Amid12","adult","midgut","Adult midgut","male","Solitalea",0
"Amid12","adult","midgut","Adult midgut","male","Sphaerisporangium",0
"Amid12","adult","midgut","Adult midgut","male","Sphingobacterium",0
"Amid12","adult","midgut","Adult midgut","male","Sphingobium",0
"Amid12","adult","midgut","Adult midgut","male","Sphingomonas",0
"Amid12","adult","midgut","Adult midgut","male","Spiroplasma",35
"Amid12","adult","midgut","Adult midgut","male","Sporotomaculum",0
"Amid12","adult","midgut","Adult midgut","male","Starkeya",0
"Amid12","adult","midgut","Adult midgut","male","Stenotrophobacter",0
"Amid12","adult","midgut","Adult midgut","male","Stenotrophomonas",0
"Amid12","adult","midgut","Adult midgut","male","Steroidobacter",0
"Amid12","adult","midgut","Adult midgut","male","Streptomyces",0
"Amid12","adult","midgut","Adult midgut","male","Streptosporangium",0
"Amid12","adult","midgut","Adult midgut","male","SWB02",0
"Amid12","adult","midgut","Adult midgut","male","Syntrophomonas",0
"Amid12","adult","midgut","Adult midgut","male","Syntrophorhabdus",0
"Amid12","adult","midgut","Adult midgut","male","Syntrophus",0
"Amid12","adult","midgut","Adult midgut","male","Termite planctomycete cluster",0
"Amid12","adult","midgut","Adult midgut","male","Terrimicrobium",0
"Amid12","adult","midgut","Adult midgut","male","Tetrasphaera",0
"Amid12","adult","midgut","Adult midgut","male","Thermovirga",0
"Amid12","adult","midgut","Adult midgut","male","Tumebacillus",0
"Amid12","adult","midgut","Adult midgut","male","Turicibacter",0
"Amid12","adult","midgut","Adult midgut","male","Tyzzerella",0
"Amid12","adult","midgut","Adult midgut","male","Tyzzerella 3",0
"Amid12","adult","midgut","Adult midgut","male","Tyzzerella 4",0
"Amid12","adult","midgut","Adult midgut","male","uncultured",372
"Amid12","adult","midgut","Adult midgut","male","uncultured Acidimicrobidae bacterium",0
"Amid12","adult","midgut","Adult midgut","male","uncultured actinobacterium",0
"Amid12","adult","midgut","Adult midgut","male","uncultured alpha proteobacterium",0
"Amid12","adult","midgut","Adult midgut","male","uncultured archaeon",0
"Amid12","adult","midgut","Adult midgut","male","uncultured bacterium",0
"Amid12","adult","midgut","Adult midgut","male","uncultured beta proteobacterium",0
"Amid12","adult","midgut","Adult midgut","male","uncultured Clostridiales bacterium",0
"Amid12","adult","midgut","Adult midgut","male","uncultured delta proteobacterium",0
"Amid12","adult","midgut","Adult midgut","male","uncultured Firmicutes bacterium",0
"Amid12","adult","midgut","Adult midgut","male","uncultured Planctomyces sp.",0
"Amid12","adult","midgut","Adult midgut","male","uncultured rumen bacterium",0
"Amid12","adult","midgut","Adult midgut","male","uncultured soil bacterium",0
"Amid12","adult","midgut","Adult midgut","male","uncultured Solirubrobacter sp.",0
"Amid12","adult","midgut","Adult midgut","male","uncultured subdivision 3 bacterium",0
"Amid12","adult","midgut","Adult midgut","male","Variovorax",0
"Amid12","adult","midgut","Adult midgut","male","Verrucomicrobium",0
"Amid12","adult","midgut","Adult midgut","male","Vicinamibacter",0
"Amid12","adult","midgut","Adult midgut","male","W5",0
"Amid12","adult","midgut","Adult midgut","male","Weissella",0
"Amid12","adult","midgut","Adult midgut","male","ZOR0006",0
"Amid39","adult","midgut","Adult midgut","female","[Eubacterium] coprostanoligenes group",0
"Amid39","adult","midgut","Adult midgut","female","[Eubacterium] nodatum group",0
"Amid39","adult","midgut","Adult midgut","female","1959-1",0
"Amid39","adult","midgut","Adult midgut","female","Acetobacter",98
"Amid39","adult","midgut","Adult midgut","female","Acholeplasma",0
"Amid39","adult","midgut","Adult midgut","female","Acidibacter",0
"Amid39","adult","midgut","Adult midgut","female","Acidothermus",0
"Amid39","adult","midgut","Adult midgut","female","Acinetobacter",3
"Amid39","adult","midgut","Adult midgut","female","Actinoallomurus",0
"Amid39","adult","midgut","Adult midgut","female","Actinomadura",0
"Amid39","adult","midgut","Adult midgut","female","Actinomyces",0
"Amid39","adult","midgut","Adult midgut","female","Actinomycetospora",0
"Amid39","adult","midgut","Adult midgut","female","Actinophytocola",0
"Amid39","adult","midgut","Adult midgut","female","Actinoplanes",0
"Amid39","adult","midgut","Adult midgut","female","ADurb.Bin063-1",0
"Amid39","adult","midgut","Adult midgut","female","Aeromicrobium",0
"Amid39","adult","midgut","Adult midgut","female","Agromyces",0
"Amid39","adult","midgut","Adult midgut","female","AKYG587",0
"Amid39","adult","midgut","Adult midgut","female","Alistipes",0
"Amid39","adult","midgut","Adult midgut","female","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",0
"Amid39","adult","midgut","Adult midgut","female","Altererythrobacter",0
"Amid39","adult","midgut","Adult midgut","female","Amaricoccus",0
"Amid39","adult","midgut","Adult midgut","female","Aminobacterium",0
"Amid39","adult","midgut","Adult midgut","female","Amnibacterium",0
"Amid39","adult","midgut","Adult midgut","female","Amycolatopsis",0
"Amid39","adult","midgut","Adult midgut","female","Anaerocolumna",0
"Amid39","adult","midgut","Adult midgut","female","Anaerofustis",0
"Amid39","adult","midgut","Adult midgut","female","Anaeromyxobacter",0
"Amid39","adult","midgut","Adult midgut","female","Anaeroplasma",0
"Amid39","adult","midgut","Adult midgut","female","Anaerospora",0
"Amid39","adult","midgut","Adult midgut","female","Anaerosporobacter",0
"Amid39","adult","midgut","Adult midgut","female","Anaerotruncus",0
"Amid39","adult","midgut","Adult midgut","female","Anaerovorax",0
"Amid39","adult","midgut","Adult midgut","female","Angustibacter",0
"Amid39","adult","midgut","Adult midgut","female","Aquicella",0
"Amid39","adult","midgut","Adult midgut","female","Aquisphaera",0
"Amid39","adult","midgut","Adult midgut","female","Bacillus",0
"Amid39","adult","midgut","Adult midgut","female","Bacteroides",0
"Amid39","adult","midgut","Adult midgut","female","Bauldia",0
"Amid39","adult","midgut","Adult midgut","female","Blastococcus",0
"Amid39","adult","midgut","Adult midgut","female","Blastopirellula",0
"Amid39","adult","midgut","Adult midgut","female","Bordetella",0
"Amid39","adult","midgut","Adult midgut","female","Bosea",0
"Amid39","adult","midgut","Adult midgut","female","Brachybacterium",15
"Amid39","adult","midgut","Adult midgut","female","Bradyrhizobium",0
"Amid39","adult","midgut","Adult midgut","female","Burkholderia-Caballeronia-Paraburkholderia",0
"Amid39","adult","midgut","Adult midgut","female","Butyricicoccus",0
"Amid39","adult","midgut","Adult midgut","female","Caenimonas",0
"Amid39","adult","midgut","Adult midgut","female","Candidatus Caldatribacterium",0
"Amid39","adult","midgut","Adult midgut","female","Candidatus Endomicrobium",0
"Amid39","adult","midgut","Adult midgut","female","Candidatus Koribacter",0
"Amid39","adult","midgut","Adult midgut","female","Candidatus Methanofastidiosum",0
"Amid39","adult","midgut","Adult midgut","female","Candidatus Nitrocosmicus",0
"Amid39","adult","midgut","Adult midgut","female","Candidatus Soleaferrea",0
"Amid39","adult","midgut","Adult midgut","female","Candidatus Solibacter",0
"Amid39","adult","midgut","Adult midgut","female","Candidatus Udaeobacter",0
"Amid39","adult","midgut","Adult midgut","female","Candidatus Xiphinematobacter",0
"Amid39","adult","midgut","Adult midgut","female","Carnimonas",75
"Amid39","adult","midgut","Adult midgut","female","Carnobacterium",0
"Amid39","adult","midgut","Adult midgut","female","Cellulomonas",0
"Amid39","adult","midgut","Adult midgut","female","Cellulosimicrobium",0
"Amid39","adult","midgut","Adult midgut","female","Christensenellaceae R-7 group",0
"Amid39","adult","midgut","Adult midgut","female","Chryseobacterium",0
"Amid39","adult","midgut","Adult midgut","female","Chryseolinea",0
"Amid39","adult","midgut","Adult midgut","female","Chthoniobacter",0
"Amid39","adult","midgut","Adult midgut","female","Chthonomonas",0
"Amid39","adult","midgut","Adult midgut","female","CL500-29 marine group",0
"Amid39","adult","midgut","Adult midgut","female","Clade Ia",0
"Amid39","adult","midgut","Adult midgut","female","Cohnella",0
"Amid39","adult","midgut","Adult midgut","female","Conexibacter",0
"Amid39","adult","midgut","Adult midgut","female","Coprothermobacter",0
"Amid39","adult","midgut","Adult midgut","female","Coxiella",0
"Amid39","adult","midgut","Adult midgut","female","Curtobacterium",0
"Amid39","adult","midgut","Adult midgut","female","Dactylosporangium",0
"Amid39","adult","midgut","Adult midgut","female","Defluviicoccus",0
"Amid39","adult","midgut","Adult midgut","female","Delftia",0
"Amid39","adult","midgut","Adult midgut","female","Demequina",0
"Amid39","adult","midgut","Adult midgut","female","Dendrosporobacter",0
"Amid39","adult","midgut","Adult midgut","female","Desulfatiferula",0
"Amid39","adult","midgut","Adult midgut","female","Desulfosporosinus",0
"Amid39","adult","midgut","Adult midgut","female","Desulfovibrio",0
"Amid39","adult","midgut","Adult midgut","female","Devosia",0
"Amid39","adult","midgut","Adult midgut","female","Dinghuibacter",0
"Amid39","adult","midgut","Adult midgut","female","Diplosphaera",0
"Amid39","adult","midgut","Adult midgut","female","Dongia",0
"Amid39","adult","midgut","Adult midgut","female","Dysgonomonas",35
"Amid39","adult","midgut","Adult midgut","female","Ellin6055",0
"Amid39","adult","midgut","Adult midgut","female","Ensifer",0
"Amid39","adult","midgut","Adult midgut","female","Enterococcus",41
"Amid39","adult","midgut","Adult midgut","female","Erysipelatoclostridium",0
"Amid39","adult","midgut","Adult midgut","female","Erysipelothrix",0
"Amid39","adult","midgut","Adult midgut","female","Erysipelotrichaceae UCG-004",0
"Amid39","adult","midgut","Adult midgut","female","Escherichia-Shigella",0
"Amid39","adult","midgut","Adult midgut","female","Exilispira",0
"Amid39","adult","midgut","Adult midgut","female","FCPS473",0
"Amid39","adult","midgut","Adult midgut","female","FFCH7168",0
