"Sample.ID","Lifestage","Gut.Region","Stage.Gut","Sex","Domain","Phylum","Abundance","totalAbun","relativeAbun"
"Amid12","adult","midgut","Adult midgut","male","Bacteria","Bacteroidetes",672,2834,23.712067748765
"Amid12","adult","midgut","Adult midgut","male","Bacteria","Deferribacteres",2,2834,0.0705716302046577
"Amid12","adult","midgut","Adult midgut","male","Bacteria","Elusimicrobia",9,2834,0.31757233592096
"Amid12","adult","midgut","Adult midgut","male","Bacteria","Firmicutes",820,2834,28.9343683839097
"Amid12","adult","midgut","Adult midgut","male","Bacteria","Proteobacteria",1296,2834,45.7304163726182
"Amid12","adult","midgut","Adult midgut","male","Bacteria","Tenericutes",35,2834,1.23500352858151
"Amid39","adult","midgut","Adult midgut","female","Bacteria","Actinobacteria",15,2251,0.666370501999112
"Amid39","adult","midgut","Adult midgut","female","Bacteria","Bacteroidetes",51,2251,2.26565970679698
"Amid39","adult","midgut","Adult midgut","female","Bacteria","Cyanobacteria",13,2251,0.577521101732563
"Amid39","adult","midgut","Adult midgut","female","Bacteria","Firmicutes",1486,2251,66.0151043980453
"Amid39","adult","midgut","Adult midgut","female","Bacteria","Proteobacteria",686,2251,30.475344291426
"Amid40","adult","midgut","Adult midgut","male","Bacteria","Actinobacteria",3,4505,0.0665926748057714
"Amid40","adult","midgut","Adult midgut","male","Bacteria","Bacteroidetes",634,4505,14.0732519422863
"Amid40","adult","midgut","Adult midgut","male","Bacteria","Firmicutes",1694,4505,37.6026637069922
"Amid40","adult","midgut","Adult midgut","male","Bacteria","Proteobacteria",2043,4505,45.3496115427303
"Amid40","adult","midgut","Adult midgut","male","Bacteria","Tenericutes",131,4505,2.90788013318535
"Amid41","adult","midgut","Adult midgut","male","Bacteria","Bacteroidetes",33,1949,1.69317598768599
"Amid41","adult","midgut","Adult midgut","male","Bacteria","Firmicutes",739,1949,37.9168804515136
"Amid41","adult","midgut","Adult midgut","male","Bacteria","Proteobacteria",1177,1949,60.3899435608004
"Amid46","adult","midgut","Adult midgut","male","Bacteria","Bacteroidetes",252,3567,7.06476030277544
"Amid46","adult","midgut","Adult midgut","male","Bacteria","Firmicutes",1032,3567,28.9318755256518
"Amid46","adult","midgut","Adult midgut","male","Bacteria","Proteobacteria",2283,3567,64.0033641715728
"Amid48","adult","midgut","Adult midgut","female","Bacteria","Bacteroidetes",4,346,1.15606936416185
"Amid48","adult","midgut","Adult midgut","female","Bacteria","Firmicutes",75,346,21.6763005780347
"Amid48","adult","midgut","Adult midgut","female","Bacteria","Proteobacteria",267,346,77.1676300578035
"Amid49","adult","midgut","Adult midgut","female","Bacteria","Actinobacteria",30,5251,0.571319748619311
"Amid49","adult","midgut","Adult midgut","female","Bacteria","Bacteroidetes",420,5251,7.99847648067035
"Amid49","adult","midgut","Adult midgut","female","Bacteria","Deferribacteres",16,5251,0.304703865930299
"Amid49","adult","midgut","Adult midgut","female","Bacteria","Firmicutes",2098,5251,39.9542944201105
"Amid49","adult","midgut","Adult midgut","female","Bacteria","Proteobacteria",1282,5251,24.4143972576652
"Amid49","adult","midgut","Adult midgut","female","Bacteria","Tenericutes",1405,5251,26.7568082270044
"Amid7","adult","midgut","Adult midgut","male","Archaea","Euryarchaeota",2,1118,0.178890876565295
"Amid7","adult","midgut","Adult midgut","male","Bacteria","Bacteroidetes",11,1118,0.983899821109123
"Amid7","adult","midgut","Adult midgut","male","Bacteria","Firmicutes",214,1118,19.1413237924866
"Amid7","adult","midgut","Adult midgut","male","Bacteria","Proteobacteria",584,1118,52.2361359570662
"Amid7","adult","midgut","Adult midgut","male","Bacteria","Synergistetes",2,1118,0.178890876565295
"Amid7","adult","midgut","Adult midgut","male","Bacteria","Tenericutes",305,1118,27.2808586762075
"hind12","adult","hindgut","Adult hindgut","male","Bacteria","Actinobacteria",35,15704,0.222873153336729
"hind12","adult","hindgut","Adult hindgut","male","Bacteria","Bacteroidetes",1981,15704,12.6146204788589
"hind12","adult","hindgut","Adult hindgut","male","Bacteria","Deferribacteres",99,15704,0.630412633723892
"hind12","adult","hindgut","Adult hindgut","male","Bacteria","Elusimicrobia",681,15704,4.33647478349465
"hind12","adult","hindgut","Adult hindgut","male","Bacteria","Firmicutes",6327,15704,40.2890983188996
"hind12","adult","hindgut","Adult hindgut","male","Bacteria","Planctomycetes",8,15704,0.0509424350483953
"hind12","adult","hindgut","Adult hindgut","male","Bacteria","Proteobacteria",6559,15704,41.7664289353031
"hind12","adult","hindgut","Adult hindgut","male","Bacteria","RsaHF231",14,15704,0.0891492613346918
"hind39","adult","hindgut","Adult hindgut","female","Archaea","Euryarchaeota",2,16881,0.0118476393578579
