"Sample.ID","Lifestage","Gut.Region","Stage.Gut","Sex","Shannon","Simpson","Richness","Pielous","ACE","Chao1"
"Amid12","adult","midgut","Adult midgut","male",2.8291877856864,0.901974996281925,53,-27.4229861322578,54.49637072202,55.2857142857143
"Amid39","adult","midgut","Adult midgut","female",1.95550587482932,0.758635334402551,27,-7.07916245819353,28,29
"Amid40","adult","midgut","Adult midgut","male",2.35441378310784,0.87338877367604,33,-17.3918568797897,34.2621103612203,35.1666666666667
"Amid41","adult","midgut","Adult midgut","male",1.16655091604543,0.615045810987841,15,-2.40002151418406,16,17
"Amid46","adult","midgut","Adult midgut","male",2.10400474365959,0.834120904078328,28,-11.6001791430045,29,30
"Amid48","adult","midgut","Adult midgut","female",1.4907661120888,0.576130075629358,17,-2.70349497123539,18,19
"Amid49","adult","midgut","Adult midgut","female",2.26061989767482,0.824087886674659,51,-11.6841127878141,52.5468807888429,53.2857142857143
"Amid7","adult","midgut","Adult midgut","male",2.06299317149267,0.788717759738181,33,-8.69189592394077,34,35
"Ileum12","larva","ileum","Larval ileum","",3.55019738897357,0.892734076981392,347,-31.2884992002436,352.645914900929,350.505208333333
"Ileum17","larva","ileum","Larval ileum","",3.35029842305833,0.91122899577867,306,-36.0398099368405,312.060757177898,310.375
"Ileum18","larva","ileum","Larval ileum","",2.95950193986281,0.902764811095594,100,-28.9315573615174,101.479019215726,102.142857142857
"Ileum19","larva","ileum","Larval ileum","",2.70043717281759,0.891889677995705,74,-23.6025722981105,75.7072814726666,76.1111111111111
"Ileum20","larva","ileum","Larval ileum","",3.72795854342267,0.936615352301244,191,-56.9305290981934,193.740920826521,193.290322580645
"Ileum21","larva","ileum","Larval ileum","",3.16208680485475,0.905312717986495,133,-31.7878016147939,135.694592613747,135.473684210526
"Ileum2","larva","ileum","Larval ileum","",5.73420251202119,0.992143201236277,670,-726.968684367942,686.031716265754,682.248366013072
"Ileum3","larva","ileum","Larval ileum","",6.06239829063136,0.992905295298,1047,-851.461415488419,1059.81315212634,1058.06129032258
"Ileum5","larva","ileum","Larval ileum","",5.88847006649406,0.99223543165143,1063,-755.428942044584,1077.56644149385,1077.79779411765
"Ileum7","larva","ileum","Larval ileum","",5.72699582389952,0.990915650346582,702,-627.556562658041,716.865967369736,714.414285714286
"Ileum9","larva","ileum","Larval ileum","",6.19300502279925,0.994653509702629,1236,-1155.23165045315,1247.8511618451,1250.15
"Lmid2","larva","midgut","Larval midgut","",6.08696598450748,0.995924198973204,749,-1490.39486220789,767.650653023334,762.770114942529
"Lmid3","larva","midgut","Larval midgut","",6.1438848276297,0.995170936193703,847,-1269.19802659304,862.502961005124,857.781081081081
"Lmid5","larva","midgut","Larval midgut","",5.07539631869579,0.984772843592245,268,-330.767967132688,273.097156300681,270.862244897959
"Lmid9","larva","midgut","Larval midgut","",6.14982836223345,0.995819636153377,841,-1468.04568995434,855.924325918444,851.793604651163
"Paunch12","larva","paunch","Larval paunch","",5.3061834528589,0.985692149406608,850,-368.198717468646,858.424456892826,856.093984962406
"Paunch17","larva","paunch","Larval paunch","",5.1915988713465,0.983917676698414,833,-320.211171186371,840.502763432164,838.893518518518
"Paunch18","larva","paunch","Larval paunch","",5.474063792244,0.98818116484417,986,-460.421952923965,994.11463661729,993.235576923077
"Paunch19","larva","paunch","Larval paunch","",4.9089908926516,0.976081708941944,772,-202.775636127396,778.828342916081,777.38
"Paunch20","larva","paunch","Larval paunch","",5.32858095899573,0.984579679691988,942,-342.884598376171,949.660648764302,947.025179856115
"Paunch21","larva","paunch","Larval paunch","",4.82179980327985,0.983148265108784,445,-283.713036552189,450.921599973536,450.611940298507
"Paunch2","larva","paunch","Larval paunch","",5.1824814306925,0.972973104227405,1152,-189.149670767714,1164.56897886324,1158.19841269841
"Paunch3","larva","paunch","Larval paunch","",5.35242887963034,0.979609381708768,1360,-259.809279434465,1381.11783080855,1379.04347826087
"Paunch5","larva","paunch","Larval paunch","",4.72807364438074,0.953159116776036,1062,-98.5560990687072,1080.76377737552,1072.57480314961
"Paunch9","larva","paunch","Larval paunch","",5.39329017588212,0.986997378477352,814,-412.082304082615,821.540014550779,818.603571428571
"hind12","adult","hindgut","Adult hindgut","male",3.26037902791535,0.925150882836699,88,-41.9080267381133,89.5661481430479,90.4
"hind39","adult","hindgut","Adult hindgut","female",2.95613118681843,0.90808391657528,73,-30.6593820781856,74.2580932491252,75.1
"hind40","adult","hindgut","Adult hindgut","male",3.87174347005362,0.96705038419109,139,-115.558283875736,140.246226994301,141.071428571429
"hind41","adult","hindgut","Adult hindgut","male",3.82837072327545,0.961871159424216,141,-98.4795794080777,142.700287674996,143.45
"hind46","adult","hindgut","Adult hindgut","female",3.83464619153631,0.967175945710887,127,-114.896282368551,128.474302607085,129.333333333333
"hind48","adult","hindgut","Adult hindgut","female",3.8263046755479,0.966280642634924,115,-111.550928465081,116.441666205161,117.4
"hind49","adult","hindgut","Adult hindgut","female",3.23768789289768,0.895639277405359,128,-29.3754325755071,129.846734518634,131.142857142857
"hind4","adult","hindgut","Adult hindgut","female",3.34277725171649,0.941231199999411,110,-55.1918752755379,111.199622037694,112.083333333333
"hind7","adult","hindgut","Adult hindgut","male",2.82776343065766,0.882204819497265,89,-22.5623572184075,90,91
