"Feature.ID","Old.Taxon","Domain","Phylum","Subphylum","Order","Family","Genus","Species","Confidence","Taxon"
"4b701cbb007101bf9de20eb0b81efd9b","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Tyzzerella 3","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Tyzzerella 3",NA,0.999862340496674,"Bacteria_Firmicutes_Clostridiales_Lachnospiraceae_Tyzzerella 3_1"
"b6140b2f2040862ce3c4c11885e64267","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Ruminococcaceae UCG-013","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae UCG-013",NA,0.877555374713495,"Bacteria_Firmicutes_Clostridiales_Ruminococcaceae_Ruminococcaceae UCG-013_1"
"8acab8bedcc56d8ef9ea44a255e166c2","D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Chthoniobacterales;D_4__Chthoniobacteraceae;D_5__Candidatus Udaeobacter","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter",NA,0.99999999906859,"Bacteria_Verrucomicrobia_Chthoniobacterales_Chthoniobacteraceae_Candidatus Udaeobacter_1"
"0a12a5608d510bf87ac99132c91f5fcd","D_0__Bacteria;D_1__Tenericutes;D_2__Mollicutes;D_3__Mollicutes RF39;D_4__uncultured rumen bacterium;D_5__uncultured rumen bacterium;D_6__uncultured rumen bacterium","Bacteria","Tenericutes","Mollicutes","Mollicutes RF39","uncultured rumen bacterium",NA,NA,0.749043078144133,"Bacteria_Tenericutes_Mollicutes RF39_uncultured rumen bacterium_1"
"a99aa73b6ecfef02ec3bcd7cf4f5caca","D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Myxococcales;D_4__Sandaracinaceae;D_5__uncultured;D_6__metagenome","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae","uncultured","metagenome",0.856780302081393,"Bacteria_Proteobacteria_Myxococcales_Sandaracinaceae_uncultured_metagenome_1"
"9d6480b1cd6f34baef37c5c17131d631","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Ruminococcaceae UCG-010;D_6__uncultured Clostridiales bacterium","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae UCG-010","uncultured Clostridiales bacterium",0.984262520165059,"Bacteria_Firmicutes_Clostridiales_Ruminococcaceae_Ruminococcaceae UCG-010_uncultured Clostridiales bacterium_1"
"e74686b180170c3c8d3c54a8814507be","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Candidatus Soleaferrea;D_6__uncultured Clostridiales bacterium","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Candidatus Soleaferrea","uncultured Clostridiales bacterium",0.755276249238219,"Bacteria_Firmicutes_Clostridiales_Ruminococcaceae_Candidatus Soleaferrea_uncultured Clostridiales bacterium_1"
"ce060dc7e1662d98d97706d200a14a7c","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Streptosporangiales;D_4__Thermomonosporaceae;D_5__Actinomadura;D_6__uncultured bacterium","Bacteria","Actinobacteria",NA,"Streptosporangiales","Thermomonosporaceae","Actinomadura","uncultured bacterium",0.998912752629574,"Bacteria_Actinobacteria_Streptosporangiales_Thermomonosporaceae_Actinomadura_uncultured bacterium_1"
"1407a03934b90bf9379849f9d429163f","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Propionibacteriales;D_4__Nocardioidaceae;D_5__Nocardioides","Bacteria","Actinobacteria",NA,"Propionibacteriales","Nocardioidaceae","Nocardioides",NA,0.999994171925732,"Bacteria_Actinobacteria_Propionibacteriales_Nocardioidaceae_Nocardioides_1"
"534e91527b8e7cc6105bf4772262e284","D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Desulfovibrionales;D_4__Desulfovibrionaceae;D_5__uncultured","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","uncultured",NA,0.931875149691492,"Bacteria_Proteobacteria_Desulfovibrionales_Desulfovibrionaceae_uncultured_1"
