"","Amid12","Amid39","Amid40","Amid41","Amid46","Amid49","Amid7","Ileum12","Ileum17","Ileum18","Ileum19","Ileum20","Ileum21","Ileum2","Ileum3","Ileum5","Ileum7","Ileum9","Lmid2","Lmid3","Lmid5","Lmid9","Paunch12","Paunch17","Paunch18","Paunch19","Paunch20","Paunch21","Paunch2","Paunch3","Paunch5","Paunch9","hind12","hind39","hind40","hind41","hind46","hind48","hind49","hind4","hind7"
"Amid12",0,0.373223218544,0.17779933995,0.2567965117,0.214854467705,0.305505534178,0.300857861925,0.434769708434,0.400624655434,0.41757059848,0.409673863217,0.394717620141,0.452344839729,0.581985210635,0.563841688399,0.594563428932,0.600921595977,0.579541281722,0.598878891035,0.60347336684,0.580063848765,0.561411441443,0.424377774697,0.431806884678,0.422369347002,0.397054980254,0.436759711859,0.469368996471,0.353014577337,0.4006087929,0.40116824702,0.406889600856,0.183931296867,0.295490159591,0.326008448525,0.287700528183,0.316080903194,0.269491703907,0.329019457666,0.255078711317,0.185767797097
"Amid39",0.373223218544,0,0.329986991452,0.257738754034,0.303338538607,0.30919351339,0.390531772133,0.352771155808,0.369445112802,0.313249429502,0.369519921011,0.367243353229,0.390678317195,0.577285109973,0.562480020549,0.594700024824,0.601557280641,0.577461188238,0.594069723871,0.59775664425,0.578525001837,0.555250920797,0.594257937843,0.593986211194,0.5696576613,0.580691527022,0.599785735121,0.657540263933,0.511015065057,0.494785985754,0.486580610856,0.57086637102,0.387254093351,0.522592557517,0.547281824197,0.509080078381,0.537592520422,0.522687623401,0.520136778518,0.459523169191,0.457269075477
"Amid40",0.17779933995,0.329986991452,0,0.230623027848,0.209506768621,0.215547484966,0.327175530919,0.384425866884,0.343829434006,0.351117683394,0.349235367669,0.339801155841,0.404050964647,0.575287914099,0.556322032415,0.590547492824,0.594434273139,0.57057647172,0.593361898859,0.597344975226,0.576164312843,0.555026346383,0.475660197717,0.47822003406,0.466817925508,0.451593696744,0.484972469863,0.525122984799,0.403759708655,0.409946182784,0.411534026714,0.456515611604,0.192389258949,0.355618675775,0.392757341063,0.351949477679,0.386334643266,0.358636069057,0.3951630602,0.325649492007,0.247363154991
"Amid41",0.2567965117,0.257738754034,0.230623027848,0,0.161946499767,0.259443739748,0.228783374989,0.327834607884,0.34851017222,0.294047426426,0.330716828241,0.339144611363,0.355935223981,0.509520212055,0.493541604477,0.525677649526,0.532197395435,0.510985531874,0.525722811993,0.530168476812,0.510003136747,0.490267542273,0.534958690799,0.534691033406,0.520467021074,0.522682195974,0.544607638841,0.592526556631,0.467363329091,0.454834229736,0.406930963316,0.515968646422,0.270012814539,0.443407567051,0.478136454405,0.426120597877,0.463138980938,0.432626046069,0.45632483292,0.388757297885,0.263437172491
"Amid46",0.214854467705,0.303338538607,0.209506768621,0.161946499767,0,0.296983264743,0.301944317458,0.430986894151,0.404129751987,0.412815336277,0.405463262468,0.401461878224,0.440378680314,0.571921990278,0.557136552584,0.584355730771,0.592326458274,0.571788490581,0.587837125722,0.591750460655,0.569820471908,0.551637153158,0.547969225088,0.548272902791,0.534489445961,0.533084467299,0.557552666338,0.604840546342,0.479994733308,0.468978181045,0.425906465159,0.528459533197,0.273224880284,0.431728160864,0.46316732826,0.422564368516,0.450216395117,0.416366051272,0.455301085345,0.399012946228,0.217624672746
"Amid49",0.305505534178,0.30919351339,0.215547484966,0.259443739748,0.296983264743,0,0.237684437959,0.34023852382,0.29624967621,0.3175026859,0.323729107263,0.316409126445,0.348261180321,0.595899983889,0.577249165495,0.612298658984,0.615211976571,0.588539989364,0.613752687909,0.617405354226,0.597548142873,0.573148461157,0.524378546671,0.528704675242,0.503348111166,0.511479751688,0.530884589493,0.586539645343,0.450424053907,0.435746797044,0.44180188508,0.506250045166,0.272720308537,0.415978849235,0.466181227779,0.419781352435,0.452878395086,0.428637398269,0.450354950544,0.394250434287,0.361158927975
"Amid7",0.300857861925,0.390531772133,0.327175530919,0.228783374989,0.301944317458,0.237684437959,0,0.381552614005,0.429206587257,0.378549319925,0.402782825764,0.42313741063,0.39234776797,0.553582067176,0.542657385962,0.565745355809,0.570147814324,0.537870113927,0.562642508406,0.570556612119,0.556890632516,0.526607402886,0.549550732264,0.558650571637,0.523468661125,0.532633887471,0.554758462472,0.619618002688,0.447126301248,0.433328098609,0.399717819691,0.523349223607,0.328893404386,0.499207161476,0.499985458574,0.47614228251,0.485936987343,0.468257976516,0.497665156833,0.41876434679,0.33294685058
"Ileum12",0.434769708434,0.352771155808,0.384425866884,0.327834607884,0.430986894151,0.34023852382,0.381552614005,0,0.206242328828,0.14080990238,0.217427720519,0.226302451077,0.226156702367,0.474608740341,0.448402185645,0.482049269838,0.472106087789,0.448571292354,0.487059186589,0.49258495998,0.480779096985,0.449778612907,0.508622418965,0.510364380014,0.478831908362,0.49592922522,0.506960068747,0.567936607729,0.383865272377,0.378571527978,0.391501529598,0.477949454364,0.391827284565,0.528647845767,0.532113433761,0.515189758843,0.518323319048,0.535123547245,0.518728556694,0.455267538377,0.488265509499
"Ileum17",0.400624655434,0.369445112802,0.343829434006,0.34851017222,0.404129751987,0.29624967621,0.429206587257,0.206242328828,0,0.192830906546,0.206407794345,0.165725075903,0.222625730811,0.477038307153,0.454904387519,0.495672490434,0.492106808107,0.45649362628,0.495380555287,0.498412956,0.484669601659,0.453701663585,0.486114328785,0.485170613058,0.45839648263,0.468778118342,0.485945279829,0.544644675497,0.362741504331,0.370768743316,0.399332509234,0.461885156978,0.340812522341,0.457162412949,0.460607858417,0.456323261795,0.445018647188,0.475455567889,0.475183256832,0.381616459101,0.446735193565
"Ileum18",0.41757059848,0.313249429502,0.351117683394,0.294047426426,0.412815336277,0.3175026859,0.378549319925,0.14080990238,0.192830906546,0,0.169228260869,0.222444680475,0.251361003067,0.480942074763,0.458349648429,0.504509235044,0.494883636599,0.459961135756,0.502380304585,0.50254169345,0.491420639311,0.464574943147,0.538914616221,0.538257396164,0.508192159142,0.522140783904,0.542942488819,0.594095426149,0.428130925163,0.42789950144,0.43787314915,0.511462623134,0.377366631853,0.512324669131,0.527334195991,0.499939947247,0.513808423416,0.528790221739,0.50770507811,0.453337060851,0.479277364803
"Ileum19",0.409673863217,0.369519921011,0.349235367669,0.330716828241,0.405463262468,0.323729107263,0.402782825764,0.217427720519,0.206407794345,0.169228260869,0,0.266990395874,0.264062069494,0.528088982698,0.50734859627,0.546021109661,0.543297894224,0.511499262727,0.5485075745,0.550912373077,0.532214188116,0.506857986116,0.48262459197,0.492000280189,0.446485169221,0.468313947541,0.48716077096,0.544407936668,0.381298901064,0.384444211001,0.423288785281,0.450942149761,0.355440804672,0.47330148618,0.486010278236,0.478047974494,0.463872336761,0.49864798401,0.494476993613,0.395552130402,0.467977358186
