"","Amid12","Amid39","Amid40","Amid41","Amid46","Amid49","Amid7","Ileum12","Ileum17","Ileum18","Ileum19","Ileum20","Ileum21","Ileum2","Ileum3","Ileum5","Ileum7","Ileum9","Lmid2","Lmid3","Lmid5","Lmid9","Paunch12","Paunch17","Paunch18","Paunch19","Paunch20","Paunch21","Paunch2","Paunch3","Paunch5","Paunch9","hind12","hind39","hind40","hind41","hind46","hind48","hind49","hind4","hind7"
"Amid12",0,0.690895354517838,0.578547828432784,0.746327448378044,0.603152099844086,0.566111093792605,0.553704900169361,0.854123142105315,0.866988517115104,0.830421073984118,0.772197103700985,0.877293048880725,0.788098328456981,0.951918538821382,0.940434352095169,0.926896729436621,0.926378378986446,0.943727899687691,0.946417389932704,0.947210787940005,0.919719407960644,0.935893900673328,0.858622009921812,0.8498578111382,0.87201696539982,0.825979300818728,0.840849030149353,0.804515198736922,0.862194211711405,0.852819508394265,0.873916774159416,0.849688340585043,0.306895920853966,0.344402442864925,0.531128939256145,0.542351037016189,0.560836353720657,0.444962073476433,0.56573087756627,0.603973053288723,0.562949337088814
"Amid39",0.690895354517838,0,0.676309326804993,0.642584174628134,0.564653014447577,0.73081810428431,0.736355532706389,0.927924790000121,0.89172372187615,0.898587057190855,0.860930287962136,0.904230779114742,0.850563234916302,0.956709806632023,0.964332289528927,0.938331910090979,0.950638103185615,0.962293685221735,0.944943196328965,0.94624586402341,0.919178440559631,0.941939885143176,0.925807951859317,0.92171793084588,0.927288701774618,0.906593177287848,0.927519351137198,0.907746455004871,0.94453442088281,0.932682116070488,0.939607458196222,0.937473506543561,0.701141163221165,0.650812623369033,0.761773339813203,0.80168587685255,0.76445754877065,0.732571777471633,0.777310475656668,0.790347699317957,0.725265656024807
"Amid40",0.578547828432784,0.676309326804993,0,0.593357349831048,0.44289184520832,0.323352390814469,0.669627109600039,0.877945462771812,0.872304873099467,0.820370677796346,0.758148086083353,0.871815207071483,0.80285515108791,0.960657103963062,0.956344865776062,0.934638673840652,0.939339024199352,0.959814411318523,0.955632069404631,0.956754067569689,0.933106033826837,0.949443639270922,0.913543726582959,0.912745302493205,0.913952413296292,0.889412645346317,0.916449545906864,0.870764947479143,0.924430399190114,0.908679303262808,0.909949760029198,0.91210741361346,0.617562298564696,0.581381050872776,0.604622990823111,0.609016610629231,0.572207172811971,0.653926095110317,0.546938596001996,0.745285721548467,0.65893704863603
"Amid41",0.746327448378044,0.642584174628134,0.593357349831048,0,0.571602753579535,0.632711669585138,0.745054587646536,0.937827063295938,0.923954221983654,0.911315593477917,0.869948450788076,0.914034069539551,0.901299906660067,0.977594991821667,0.980219583566382,0.962496899148271,0.968564250745547,0.980450945910538,0.967387408542032,0.970419809936483,0.953915023176692,0.968623702854356,0.949072201151632,0.949742324952165,0.952751517576428,0.936199394108756,0.948149386868148,0.939719991399031,0.95927424062021,0.948894782045247,0.953700134601202,0.952423412511818,0.807058251757198,0.745519233417385,0.79795371668476,0.800219691954095,0.794449215205547,0.784498090177101,0.766565165959706,0.84258841539095,0.744521908005107
"Amid46",0.603152099844086,0.564653014447577,0.44289184520832,0.571602753579535,0,0.558941218238282,0.718983544757835,0.894545543038407,0.883846958661512,0.860996213860834,0.801161641171022,0.903458448906342,0.824463573149505,0.969089922620432,0.96766846645251,0.941617655034691,0.948501381115866,0.966950080007946,0.960626291260424,0.959541430673474,0.941562910830687,0.95216247688113,0.919531159753074,0.911914374618504,0.919329795710718,0.892101203303373,0.922166993823068,0.892328718745043,0.934180805580691,0.92178806913449,0.928537220385166,0.922862294055685,0.686224710467937,0.514728592884341,0.689453606515183,0.706229769612971,0.691494341207964,0.689634351354614,0.692814018165627,0.792243172553538,0.653312201720577
"Amid49",0.566111093792605,0.73081810428431,0.323352390814469,0.632711669585138,0.558941218238282,0,0.702149728424066,0.871908843030404,0.877855975657598,0.837071394426215,0.780736742921326,0.878820140643495,0.819680119058638,0.96063346194402,0.956477381552611,0.93424826617355,0.940163245193795,0.958875892730637,0.953400260387197,0.956873013597528,0.934482305477399,0.948855973950651,0.876040989297371,0.87536927951704,0.875323071776702,0.85885645963292,0.885878729346161,0.827743256140006,0.89617800749589,0.877974456112365,0.89189428326357,0.876620897741867,0.60189349036502,0.568675395998675,0.561860837187322,0.518128100569166,0.514986870559364,0.614841472743582,0.385184858760139,0.715109113956607,0.657255904336809
"Amid7",0.553704900169361,0.736355532706389,0.669627109600039,0.745054587646536,0.718983544757835,0.702149728424066,0,0.845246155613552,0.829353359492427,0.844450088911718,0.808106178693576,0.82474206748629,0.772082218063183,0.952818780384855,0.929624214841936,0.911329944693357,0.908347890686218,0.929422029392861,0.923788569233389,0.925738430082157,0.921917289639733,0.914510453172016,0.860363269161451,0.874341142244888,0.884538420013784,0.847576646270467,0.879746631059543,0.835408757543493,0.88947866074836,0.864703370965745,0.877693208367442,0.876135042998992,0.663721893684296,0.597234111727985,0.704074830756176,0.689552830772026,0.704425320076106,0.680166901559396,0.698674264116562,0.694947882180161,0.573581157105179
"Ileum12",0.854123142105315,0.927924790000121,0.877945462771812,0.937827063295938,0.894545543038407,0.871908843030404,0.845246155613552,0,0.623352538514917,0.789152866665564,0.70800078756066,0.64418753966528,0.639145313464035,0.804984205861256,0.757187270024766,0.730828155943888,0.723485275782877,0.764750497533976,0.773053182607607,0.779490556832997,0.762817307762136,0.751878277855381,0.741292641024617,0.727769888861232,0.750137908190991,0.747956414535925,0.748684094643524,0.742888502711298,0.638753115915108,0.649639907823177,0.652521252778342,0.719789245327041,0.830687722086981,0.847029861871047,0.85806439581918,0.845017412088543,0.839170838266204,0.831581402933762,0.857456783042015,0.841266055195091,0.830918480829634
"Ileum17",0.866988517115104,0.89172372187615,0.872304873099467,0.923954221983654,0.883846958661512,0.877855975657598,0.829353359492427,0.623352538514917,0,0.671866325633174,0.685149279975135,0.435775411573085,0.650310228875739,0.688511674112542,0.660032349839231,0.620726008740975,0.626160419409664,0.66549693625878,0.66332873012609,0.673431989514863,0.625178170959504,0.646124752236614,0.879701305173721,0.823165157549126,0.869979283517213,0.872384792978997,0.891908391745173,0.868651899764094,0.709022975678181,0.736550573045892,0.701717359559095,0.847890023225011,0.858252112202112,0.845712612434702,0.881482977291804,0.874961927987059,0.869705832759814,0.859122780701137,0.880882286108253,0.863389238209092,0.858069796284073
"Ileum18",0.830421073984118,0.898587057190855,0.820370677796346,0.911315593477917,0.860996213860834,0.837071394426215,0.844450088911718,0.789152866665564,0.671866325633174,0,0.586843083482296,0.65427001223601,0.741188543069595,0.832636553015479,0.835196691550091,0.838739259337204,0.831279142634253,0.841788270220245,0.857640079375831,0.851940592624542,0.801157902939634,0.845488952808562,0.924439746843955,0.907112359339123,0.915459662348817,0.910457542313984,0.940759193392024,0.906113514800275,0.866504557806351,0.877345129027937,0.854226406937052,0.923806851231252,0.823868042644006,0.827815125621908,0.879223076481887,0.847415386641896,0.860426409258816,0.830686259786839,0.867735999643115,0.865401287157441,0.835143593914433
"Ileum19",0.772197103700985,0.860930287962136,0.758148086083353,0.869948450788076,0.801161641171022,0.780736742921326,0.808106178693576,0.70800078756066,0.685149279975135,0.586843083482296,0,0.685733097475599,0.66961506634482,0.853717797382466,0.860003934474428,0.838364187691853,0.833752983642822,0.865691687289317,0.876860510133591,0.868696673258146,0.80617261361591,0.860323625179179,0.88577277926355,0.874909683492432,0.881046217470967,0.869938758214606,0.89830990850799,0.868423549950175,0.839260088380473,0.823855663710889,0.830676469901705,0.884668599423767,0.762504408712379,0.759762819510921,0.823482528568472,0.783268083037438,0.791949711147453,0.764911051564351,0.817269006142748,0.798450557537769,0.75525955625006
"Ileum20",0.877293048880725,0.904230779114742,0.871815207071483,0.914034069539551,0.903458448906342,0.878820140643495,0.82474206748629,0.64418753966528,0.435775411573085,0.65427001223601,0.685733097475599,0,0.647337780770259,0.714509670737962,0.673953177505356,0.656583112095866,0.639203331910235,0.682048317861686,0.678529287381974,0.671432748910901,0.645355678956185,0.676683029623081,0.898239985879872,0.845011750843085,0.889474186333734,0.891087084678261,0.90775166048853,0.882663709539229,0.741163013650412,0.754844015709581,0.708856074028245,0.874451288882415,0.868194138896597,0.875647376887275,0.893541097106048,0.883720652812359,0.88244739295501,0.870969473784371,0.894625249467609,0.882363755958622,0.871174153602065
"Ileum21",0.788098328456981,0.850563234916302,0.80285515108791,0.901299906660067,0.824463573149505,0.819680119058638,0.772082218063183,0.639145313464035,0.650310228875739,0.741188543069595,0.66961506634482,0.647337780770259,0,0.798842159159452,0.776417889941594,0.75768490172256,0.747098393676659,0.769461742460252,0.770929031773994,0.773849634467005,0.773603627532098,0.757513687627534,0.824661154716905,0.791827644887369,0.823834733478064,0.803800141187456,0.823402730599126,0.77097592749447,0.729609310328855,0.715035363423674,0.730238917214857,0.831613985143944,0.751562101152222,0.778059458305351,0.795073659473997,0.792771522080684,0.767159553465731,0.758827937773874,0.799292246337662,0.787624370540801,0.782455904283075
"Ileum2",0.951918538821382,0.956709806632023,0.960657103963062,0.977594991821667,0.969089922620432,0.96063346194402,0.952818780384855,0.804984205861256,0.688511674112542,0.832636553015479,0.853717797382466,0.714509670737962,0.798842159159452,0,0.501859511546227,0.50755670453395,0.546811445246736,0.530639357421733,0.471693965835993,0.480206291612393,0.499128016404692,0.562891992258329,0.939582648984974,0.921340518985416,0.937181916451302,0.945157770094535,0.947341680338795,0.943486946212411,0.769896041019337,0.811647748112396,0.717735054462454,0.918329177862774,0.943410284730394,0.950849757718327,0.945048548581278,0.947370372888119,0.94635123384627,0.936779515731885,0.95021568167678,0.9383780735682,0.938578993591301
"Ileum3",0.940434352095169,0.964332289528927,0.956344865776062,0.980219583566382,0.96766846645251,0.956477381552611,0.929624214841936,0.757187270024766,0.660032349839231,0.835196691550091,0.860003934474428,0.673953177505356,0.776417889941594,0.501859511546227,0,0.49558136288545,0.487388367401543,0.475961054307994,0.501818959079407,0.450905368940912,0.541088883865295,0.516624462803991,0.915787101762535,0.88397599948309,0.910587934227865,0.91955388485849,0.920092096871998,0.914131610690596,0.725875599041472,0.767037816818259,0.69333300590303,0.896241300741511,0.92797925123328,0.937589099994771,0.943510222292205,0.938024774817482,0.939341580007511,0.936461254996249,0.948714745377366,0.936645997397966,0.938434218832713
"Ileum5",0.926896729436621,0.938331910090979,0.934638673840652,0.962496899148271,0.941617655034691,0.93424826617355,0.911329944693357,0.730828155943888,0.620726008740975,0.838739259337204,0.838364187691853,0.656583112095866,0.75768490172256,0.50755670453395,0.49558136288545,0,0.508191450216047,0.530063955412728,0.470819765353519,0.503097439407614,0.455994179722576,0.50417339571744,0.90091938042106,0.867473078475228,0.900877049677249,0.89788417325151,0.909458324348779,0.901498152291749,0.715718427535409,0.76687693836964,0.6518902140839,0.875404351557823,0.919446240389447,0.921129438290435,0.916508466992251,0.925254836269055,0.920922174613619,0.909682889133445,0.926015782286943,0.913709763985976,0.911668860919229
"Ileum7",0.926378378986446,0.950638103185615,0.939339024199352,0.968564250745547,0.948501381115866,0.940163245193795,0.908347890686218,0.723485275782877,0.626160419409664,0.831279142634253,0.833752983642822,0.639203331910235,0.747098393676659,0.546811445246736,0.487388367401543,0.508191450216047,0,0.455525370868167,0.461257046644286,0.511362727051144,0.591952515896475,0.499276536303897,0.917110200697984,0.874564068302907,0.906732686069736,0.916093041677897,0.919337935891569,0.907345408822104,0.712941545991553,0.763869527196866,0.685825743710584,0.882747520937093,0.910778353990273,0.919080915656916,0.924911729421694,0.918481949645058,0.921005703533027,0.916647638888149,0.931782571796477,0.914933822220273,0.915026073316248
"Ileum9",0.943727899687691,0.962293685221735,0.959814411318523,0.980450945910538,0.966950080007946,0.958875892730637,0.929422029392861,0.764750497533976,0.66549693625878,0.841788270220245,0.865691687289317,0.682048317861686,0.769461742460252,0.530639357421733,0.475961054307994,0.530063955412728,0.455525370868167,0,0.472254333080011,0.487357088888621,0.597093519779157,0.437752947591736,0.922668015270725,0.888451958291617,0.918718017581536,0.924807999132436,0.927928178265534,0.922565485993103,0.731066024390501,0.775160491530648,0.703373321103865,0.889332411064272,0.935763472874777,0.946535200338606,0.940140128901641,0.949569536386924,0.948213718701043,0.937341281551839,0.952194104955766,0.935227085839382,0.937884288383682
